iteration,n_objects,stage,n_threads,current_meshes,compute_cdt,compute_cat_cells,optimize_positions
0,4,0,1,982.0,4236.0,472094.0,498622.0
1,4,0,1,994.0,2550.0,500548.0,504544.0
2,4,0,1,962.0,2532.0,490571.0,453345.0
0,4,1,1,906.0,2568.0,500110.0,524139.0
1,4,1,1,1036.0,2623.0,504698.0,457943.0
2,4,1,1,925.0,2561.0,513975.0,452757.0
0,4,2,1,937.0,2738.0,576772.0,454767.0
1,4,2,1,1257.0,3092.0,539169.0,472932.0
2,4,2,1,962.0,2806.0,562599.0,511264.0
0,4,3,1,965.0,3090.0,632638.0,472500.0
1,4,3,1,1236.0,3149.0,592877.0,554181.0
2,4,3,1,973.0,3984.0,627999.0,467949.0
0,4,4,1,992.0,3196.0,683452.0,471381.0
1,4,4,1,996.0,3693.0,688440.0,492716.0
2,4,4,1,985.0,3200.0,683860.0,456672.0
0,4,5,1,921.0,3590.0,790656.0,513842.0
1,4,5,1,1780.0,3715.0,788385.0,488302.0
2,4,5,1,950.0,3435.0,779539.0,520487.0
0,4,6,1,1004.0,4130.0,938599.0,557250.0
1,4,6,1,1008.0,4098.0,926040.0,516265.0
2,4,6,1,1051.0,4009.0,937004.0,530199.0
0,4,7,1,1023.0,5550.0,1239681.0,605198.0
1,4,7,1,953.0,5206.0,1242781.0,621018.0
2,4,7,1,1034.0,5325.0,1229602.0,576437.0
0,4,8,1,1018.0,17707.0,4358345.0,1514854.0
1,4,8,1,992.0,17865.0,4356579.0,1332146.0
2,4,8,1,977.0,17787.0,4316509.0,1382311.0
0,8,0,1,1666.0,4085.0,913203.0,554119.0
1,8,0,1,1656.0,4192.0,920640.0,609483.0
2,8,0,1,1683.0,4331.0,920629.0,561529.0
0,8,1,1,1727.0,5262.0,958505.0,557916.0
1,8,1,1,1659.0,4297.0,957969.0,592241.0
2,8,1,1,1646.0,4288.0,963446.0,558649.0
0,8,2,1,1731.0,4465.0,1035180.0,644117.0
1,8,2,1,1684.0,4547.0,1013438.0,589339.0
2,8,2,1,1619.0,4515.0,1024888.0,630264.0
0,8,3,1,1630.0,4912.0,1129574.0,643231.0
1,8,3,1,1649.0,4980.0,1111872.0,654657.0
2,8,3,1,1695.0,4932.0,1124925.0,672569.0
0,8,4,1,2344.0,5478.0,1216740.0,655780.0
1,8,4,1,1723.0,5491.0,1215910.0,654570.0
2,8,4,1,1756.0,5375.0,1227806.0,685694.0
0,8,5,1,1646.0,6259.0,1379837.0,706584.0
1,8,5,1,1597.0,5883.0,1378406.0,648323.0
2,8,5,1,1761.0,5894.0,1376255.0,692844.0
0,8,6,1,1658.0,6698.0,1625798.0,760250.0
1,8,6,1,2401.0,6764.0,1840097.0,816819.0
2,8,6,1,1683.0,7032.0,1715459.0,918976.0
0,8,7,1,1669.0,13562.0,3527232.0,1158404.0
1,8,7,1,1621.0,13156.0,3484531.0,1168424.0
2,8,7,1,1720.0,13186.0,3439007.0,1010619.0
0,8,8,1,1695.0,50277.0,11636489.0,2493620.0
1,8,8,1,1810.0,47353.0,11591483.0,2746567.0
2,8,8,1,1753.0,49810.0,11737490.0,2817389.0
0,16,0,1,2895.0,6982.0,1595319.0,757731.0
1,16,0,1,2880.0,6879.0,1585478.0,792964.0
2,16,0,1,2868.0,6971.0,1599879.0,821698.0
0,16,1,1,2797.0,7087.0,1664231.0,888958.0
1,16,1,1,2786.0,7183.0,1663221.0,827049.0
2,16,1,1,2850.0,7371.0,1653740.0,836775.0
0,16,2,1,2849.0,7616.0,1780672.0,927520.0
1,16,2,1,2915.0,7585.0,1774871.0,884009.0
2,16,2,1,2953.0,7644.0,1776937.0,806951.0
0,16,3,1,2837.0,12906.0,3355211.0,1160334.0
1,16,3,1,2837.0,12748.0,3322283.0,1210019.0
2,16,3,1,2852.0,13390.0,3399911.0,1304506.0
0,16,4,1,2929.0,13320.0,3489210.0,1116027.0
1,16,4,1,2869.0,13470.0,3494232.0,1977256.0
2,16,4,1,2828.0,13461.0,3472992.0,1121259.0
0,16,5,1,2949.0,13986.0,3706820.0,1246656.0
1,16,5,1,2843.0,14579.0,3661363.0,1273827.0
2,16,5,1,2765.0,14103.0,3707811.0,1204117.0
0,16,6,1,2900.0,15987.0,4023357.0,1270710.0
1,16,6,1,2848.0,15832.0,4015547.0,1341344.0
2,16,6,1,2922.0,15545.0,4024849.0,1282127.0
0,16,7,1,2986.0,18545.0,4626263.0,1483062.0
1,16,7,1,2981.0,18523.0,4665313.0,1615498.0
2,16,7,1,2924.0,18459.0,4695011.0,1808712.0
0,16,8,1,2980.0,64627.0,15239091.0,4092542.0
1,16,8,1,3118.0,64742.0,15388205.0,4299237.0
2,16,8,1,3001.0,64445.0,15401669.0,4162440.0
0,32,0,1,5581.0,17807.0,4505101.0,1673057.0
1,32,0,1,5631.0,17672.0,4458582.0,1617973.0
2,32,0,1,5637.0,17951.0,4441548.0,1567357.0
0,32,1,1,5604.0,18211.0,4571895.0,1635209.0
1,32,1,1,5825.0,18483.0,4583530.0,1573458.0
2,32,1,1,5722.0,18293.0,4630024.0,1664918.0
0,32,2,1,5519.0,18900.0,4778074.0,1650066.0
1,32,2,1,5681.0,18741.0,4783466.0,1631340.0
2,32,2,1,5699.0,18798.0,4783229.0,1780515.0
0,32,3,1,5517.0,19569.0,5034290.0,1760726.0
1,32,3,1,5754.0,19953.0,5018529.0,1878645.0
2,32,3,1,5704.0,20028.0,5036006.0,1865001.0
0,32,4,1,5732.0,20831.0,5803543.0,1908545.0
1,32,4,1,5563.0,21645.0,5275121.0,1810995.0
2,32,4,1,5823.0,21440.0,5251531.0,1867274.0
0,32,5,1,5791.0,22443.0,5692712.0,1972760.0
1,32,5,1,5682.0,22311.0,5726470.0,1994576.0
2,32,5,1,5760.0,22729.0,5744448.0,2012937.0
0,32,6,1,5758.0,26910.0,6308419.0,2125404.0
1,32,6,1,5771.0,27365.0,6496796.0,2151535.0
2,32,6,1,5818.0,25562.0,6379442.0,2413899.0
0,32,7,1,5651.0,31431.0,7611056.0,2696901.0
1,32,7,1,5647.0,36704.0,7623717.0,2823863.0
2,32,7,1,5624.0,31504.0,7644316.0,2694225.0
0,32,8,1,6093.0,109921.0,24071027.0,7389851.0
1,32,8,1,6051.0,112959.0,24245753.0,7447332.0
2,32,8,1,6461.0,109033.0,24888744.0,7537597.0
0,64,0,1,10748.0,29008.0,7092290.0,2576789.0
1,64,0,1,11337.0,28743.0,6974324.0,2715092.0
2,64,0,1,10882.0,29098.0,7158944.0,2681258.0
0,64,1,1,10911.0,30057.0,7311694.0,2684119.0
1,64,1,1,10899.0,29855.0,7307861.0,2921082.0
2,64,1,1,11037.0,29881.0,7225919.0,2596045.0
0,64,2,1,10908.0,31369.0,7856745.0,3121178.0
1,64,2,1,11443.0,31450.0,7688864.0,2804290.0
2,64,2,1,10839.0,31221.0,7633842.0,2908348.0
0,64,3,1,11197.0,32928.0,8136390.0,3085330.0
1,64,3,1,10940.0,32861.0,8185486.0,3005446.0
2,64,3,1,10831.0,33035.0,8188094.0,3037374.0
0,64,4,1,11553.0,36945.0,8715362.0,3242864.0
1,64,4,1,11090.0,36329.0,8622346.0,3282278.0
2,64,4,1,12006.0,38812.0,8661447.0,3351639.0
0,64,5,1,10705.0,38730.0,9459318.0,3500064.0
1,64,5,1,10798.0,38038.0,9469887.0,3709975.0
2,64,5,1,11070.0,38001.0,9515177.0,3318721.0
0,64,6,1,10958.0,46815.0,11312707.0,4275331.0
1,64,6,1,14939.0,46599.0,10992566.0,4390444.0
2,64,6,1,11134.0,45549.0,10957021.0,4017217.0
0,64,7,1,12762.0,88249.0,19793312.0,5846391.0
1,64,7,1,11329.0,79815.0,19733782.0,6024620.0
2,64,7,1,11062.0,79646.0,20373690.0,6231309.0
0,64,8,1,11657.0,294290.0,62770391.0,16491440.0
1,64,8,1,10758.0,296029.0,62778928.0,15831053.0
2,64,8,1,11570.0,287262.0,63326188.0,15902791.0
0,128,0,1,21157.0,57283.0,12990564.0,5070166.0
1,128,0,1,21384.0,54753.0,12775797.0,5342737.0
2,128,0,1,21250.0,56435.0,12599183.0,4827093.0
0,128,1,1,21095.0,54909.0,13195873.0,5007119.0
1,128,1,1,25590.0,62888.0,13401858.0,5221455.0
2,128,1,1,21880.0,58429.0,13676141.0,5412371.0
0,128,2,1,23139.0,60253.0,14532121.0,5484929.0
1,128,2,1,22079.0,68565.0,14162509.0,5550519.0
2,128,2,1,20868.0,61469.0,13785065.0,5320115.0
0,128,3,1,25650.0,105384.0,20842781.0,6279806.0
1,128,3,1,20612.0,84002.0,20414922.0,6200785.0
2,128,3,1,21118.0,86792.0,20479387.0,6512357.0
0,128,4,1,21392.0,91997.0,21431507.0,6632190.0
1,128,4,1,21444.0,89577.0,21357959.0,7078139.0
2,128,4,1,21768.0,92748.0,21589346.0,7449150.0
0,128,5,1,21416.0,96662.0,24211102.0,7449170.0
1,128,5,1,21099.0,97165.0,23005007.0,7381925.0
2,128,5,1,20856.0,94215.0,22959583.0,7277286.0
0,128,6,1,21497.0,111204.0,25541282.0,8715901.0
1,128,6,1,21227.0,109086.0,25733568.0,8527318.0
2,128,6,1,21168.0,119908.0,26361649.0,8920832.0
0,128,7,1,22908.0,139876.0,31490123.0,10386873.0
1,128,7,1,23271.0,147275.0,31302466.0,10651390.0
2,128,7,1,20977.0,139807.0,30724578.0,9806277.0
0,128,8,1,22548.0,530991.0,98385086.0,29457542.0
1,128,8,1,21009.0,521107.0,97331311.0,29288273.0
2,128,8,1,21631.0,511532.0,101290479.0,31312244.0
